Age,Current Approch,Modified(Balanced) Approch
19,20000.0,20000.0
20,27120.0,26140.178622616066
21,35494.72,33333.23404149104
22,45307.16032,41730.972983254534
23,56764.71931392,51505.3138661815
24,70102.27956119552,62850.820657368924
25,85585.67119468225,75987.54552055943
26,103515.55734131858,91164.21700659906
27,124231.79191949834,108661.81483624494
28,148118.30591296518,128797.57711852793
29,175608.5847947395,151929.491193697
30,207191.8070834819,178461.32525089453
31,243419.72216488098,208848.26451722154
32,284914.3545979634,243603.2232247524
33,332376.63225731306,283303.91182215215
34,386596.0469557503,328600.7481044338
35,448461.4687801381,380225.7111955507
36,518973.24940261885,439002.2487535307
37,599256.7652642612,505856.3605097817
38,690577.5689497341,581828.995451033
39,794358.3364826132,668089.9157687784
40,912197.8198963983,765953.1983201983
41,1045892.0385267074,876894.5639700618
42,1197457.9693039584,1002570.7470416031
43,1369160.02621294,1144841.141447799
44,1563539.6523705497,1305791.9871830305
45,1783448.38523877,1487763.3910403731
46,2032084.7967627158,1693379.509028188
47,2313035.7561770636,1925582.2553764647
48,2630322.514385082,2187668.9446767876
49,2988452.1657684753,2483334.320065987
50,3392475.106684366,2816717.471971787
51,3848049.180471784,3192454.2093774825
52,4361511.2773285555,3615735.5094858506
53,4939957.244824821,4092372.742797141
54,5591331.062085635,4628870.449770007
55,6324524.338907034,5232507.533305634
56,7149487.321495534,5911427.829282038
57,8077352.72050485,6674741.126376542
58,9120573.826102233,7532635.827682124
59,10293078.540615326,8496504.581517065
60,11610441.143761432,9579084.358868573
61,13090073.810625112,10794612.621790411
62,14751440.13073884,12159001.41267014
63,16616293.130403368,13690031.400680115
64,18708940.582612958,15407568.151245842
65,19282159.744127773,15749691.242564956
66,19851319.84619254,16071578.549520323
67,20413485.690600388,16369162.503161112
68,20965357.551427245,16637931.740867222
69,21503236.114261072,16872890.496961847
70,22022984.3885473,17068514.578037135
71,22519986.346810844,17218703.649564967
72,22989102.02521675,17316729.53916366
73,23424618.79915882,17355180.239082012
74,23820198.525207445,17325899.265925262
75,24168820.216685925,17219920.00925399
76,24462717.894250736,17027394.672298566
77,24693313.224988893,16737517.37750007
78,24851142.533567153,16338440.976754116
79,24925777.736715637,15817187.070925688
80,24905740.717632443,15159548.705237199
81,24778410.619574226,14349985.166311314
82,24529923.497754384,13371508.26276307
83,24145063.725495752,12205559.424055045
84,23607146.50415293,10831876.901611373
85,22897890.77638846,9228352.30166899
86,21997281.788697165,7370875.6207473315
87,20883422.49134517,5233167.891638847
88,19532372.901824888,2786600.4801391214
89,17917976.491203316,-4.5262277126312256e-07
